WWWWW,1022
WYYWW,287
WGGGG,13
WWWGG,375
WYYGG,3
GWWWG,68
GYYWG,13
GGGGW,1
WWWYY,239
WYYYY,28
GGGWG,6
WGGWW,118
GWGGG,4
WGWGW,150
WWGGW,56
WGWWG,395
GWGWG,16
WGWYY,32
GWGGW,5
WWGYY,35
WGWGG,120
WWGGG,43
WGWWW,522
YYYWW,62
YGGWW,12
WYGYY,7
YYWWY,74
WYGGG,4
WWYWG,155
WYWWG,379
WGYGW,88
WYGGW,8
YYGWY,11
WWYWW,322
WYWWW,731
YYGWG,1
YYWWW,150
WYGYW,24
YYWGY,2
YWYGY,6
YYWYG,21
WYGWG,23
GGYWW,7
YYGYW,1
WWYGG,54
WYWGG,30
WWYYY,53
WYWYY,92
WGYYG,1
WGYGY,16
WWYWY,61
WYWWY,192
YYGWW,13
YYWWG,72
WYGYG,2
GYWGG,1
GWYYY,1
GWYGG,3
GYWYY,4
WGYWW,121
YYWYW,81
WYGWW,104
GGYWG,1
WWYGW,307
WYWGW,57
YYWGW,7
WWYYW,283
WYWYW,312
GWWGY,2
WGGYW,27
WWWWY,329
WYYWY,46
WWWYW,761
WYYYW,169
WWWWG,898
WYYWG,111
WGGGW,30
GGGWW,10
WGGWG,86
WWWGW,467
WYYGW,30
WWWGY,114
WYYGY,5
GYYWY,1
GWWWY,12
WWWYG,316
WYYYG,29
YYWGG,1
WWYGY,51
WYWGY,11
YYGGW,3
WWYYG,100
WYWYG,87
YYYWG,8
YYYGW,7
YYYWY,21
YWWWY,155
YYYYW,31
YYYGY,1
YYYYG,1
WGWWY,133
WGWYW,110
WWGYG,56
WGWGY,23
GWGWY,3
WGWYG,2
YGWYY,7
YWGYY,2
YGWWW,131
YGWWG,71
YWGYW,11
YGWWY,36
YGWGW,24
YGWGG,11
YGWYW,19
GWYGW,25
GYWGW,3
WGYWG,51
YWYGG,2
WYGWY,21
YYWYY,34
YWWYG,98
YWWYW,182
YWWGW,91
YWGGW,6
WWGYW,113
YWWGY,24
YWWYY,101
YWWGG,40
YYYYY,4
YWWWW,311
YGGGW,1
YWWWG,185
WWGWW,134
GGWYY,3
WWGWG,141
GGWYG,1
WWGWY,39
YWGWW,25
YWYGW,44
YGYGY,1
YWYYW,65
YGYWG,7
YWYWW,71
YWGWG,14
YGYWW,16
YWYWG,24
YWYWY,34
YWGWY,17
WGYYW,31
GWWGW,43
WGGYY,5
YGGYW,4
YGGWG,8
YWYYY,17
YGYGW,15
YWGYG,4
GGGYW,3
WGGYG,3
YGGYY,1
YGWYG,2
YGYYW,1
YWYYG,3
WGGWY,10
YGGWY,2
GWYYW,28
GYWYW,19
WGYWY,14
WGYYY,6
WGYGG,12
YGYWY,2
YGYGG,1
YGWGY,3
WGGGY,2
WWGGY,20
GGYWY,1
YYGYY,1
YWGGY,2
GGWWG,41
GGWWW,63
GGYGW,9
GWGYY,2
GGWGG,10
GGWYW,8
GGWGW,9
GGWWY,8
GWWWW,91
GYYWW,35
GGGGG,1
GWWGG,32
GGGYY,1
GGGWY,1
GWGYG,4
GGWGY,1
GYGYG,1
GGYGY,1
GWYYG,10
GYWYG,8
GWWYG,21
GYYYG,1
GWWYW,70
GYYYW,11
GWWYY,10
GYGYW,5
GWGYW,8
GWYWW,37
GYWWW,40
GWYWG,16
GYWWG,17
GYGWW,5
GWGWW,14
GWYWY,3
GYWWY,3
GYGWG,1
